ThoiGian,MucNuocA(cm),MucNuocB(cm),LuuLuong(m3/s),TrangThai,ThongBao
16:41:04 23/10/2025,36.7,35.6,19.19,"Bình thường","An toàn"
16:41:06 23/10/2025,17.8,52.7,26.78,"Bình thường","An toàn"
16:41:08 23/10/2025,16.0,54.6,10.57,"Bình thường","An toàn"
16:41:10 23/10/2025,59.1,2.3,8.25,"Bình thường","An toàn"
16:41:12 23/10/2025,97.1,79.2,14.19,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:41:14 23/10/2025,85.1,14.7,26.63,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:41:16 23/10/2025,18.7,9.8,2.30,"Bình thường","An toàn"
16:41:18 23/10/2025,76.4,69.4,31.06,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:41:20 23/10/2025,69.4,63.4,40.81,"Bình thường","An toàn"
16:41:22 23/10/2025,35.6,9.2,39.65,"Bình thường","An toàn"
16:41:24 23/10/2025,50.7,49.5,3.08,"Bình thường","An toàn"
16:41:26 23/10/2025,52.8,61.3,46.85,"Bình thường","An toàn"
16:41:28 23/10/2025,79.9,80.2,36.34,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:41:30 23/10/2025,43.0,95.5,37.00,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:41:32 23/10/2025,63.6,28.3,13.94,"Bình thường","An toàn"
16:41:34 23/10/2025,74.2,51.7,1.50,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:41:36 23/10/2025,3.9,90.2,26.31,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:41:38 23/10/2025,62.0,35.3,15.85,"Bình thường","An toàn"
16:41:40 23/10/2025,93.8,16.5,16.91,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:41:42 23/10/2025,30.8,41.8,0.81,"Bình thường","An toàn"
16:41:44 23/10/2025,71.0,49.1,15.62,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:41:46 23/10/2025,45.6,98.0,42.34,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:41:48 23/10/2025,44.3,55.9,6.72,"Bình thường","An toàn"
16:41:50 23/10/2025,83.2,14.6,23.75,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:41:52 23/10/2025,32.6,15.1,40.64,"Bình thường","An toàn"
16:41:54 23/10/2025,57.8,76.8,41.56,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:41:56 23/10/2025,38.5,65.2,16.75,"Bình thường","An toàn"
16:41:58 23/10/2025,71.0,31.5,42.72,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:42:00 23/10/2025,85.5,82.2,39.53,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:42:02 23/10/2025,61.9,97.2,47.65,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:42:04 23/10/2025,72.4,58.0,41.88,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:42:06 23/10/2025,63.1,84.7,17.92,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:42:08 23/10/2025,63.2,81.1,18.95,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:42:10 23/10/2025,82.5,38.3,38.13,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:42:12 23/10/2025,9.6,77.1,10.21,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:42:14 23/10/2025,56.9,5.6,29.12,"Bình thường","An toàn"
16:42:16 23/10/2025,82.6,59.4,27.56,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:42:18 23/10/2025,90.4,2.7,29.01,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:42:20 23/10/2025,96.7,20.9,27.70,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:42:22 23/10/2025,19.7,49.1,32.27,"Bình thường","An toàn"
16:42:24 23/10/2025,33.9,46.3,22.25,"Bình thường","An toàn"
16:42:26 23/10/2025,20.3,0.3,18.01,"Bình thường","An toàn"
16:42:28 23/10/2025,54.3,72.7,24.97,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:42:30 23/10/2025,4.5,90.1,21.27,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:42:32 23/10/2025,11.7,18.6,2.04,"Bình thường","An toàn"
16:42:34 23/10/2025,80.8,96.8,42.39,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:42:36 23/10/2025,8.0,52.5,8.19,"Bình thường","An toàn"
16:42:38 23/10/2025,65.4,90.5,33.30,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:42:40 23/10/2025,52.2,56.4,6.48,"Bình thường","An toàn"
16:42:42 23/10/2025,12.8,4.1,14.60,"Bình thường","An toàn"
16:42:44 23/10/2025,65.7,33.7,24.03,"Bình thường","An toàn"
16:42:46 23/10/2025,71.8,34.8,45.50,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:42:48 23/10/2025,59.5,64.5,3.25,"Bình thường","An toàn"
16:42:50 23/10/2025,70.4,84.4,49.26,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:42:52 23/10/2025,79.8,91.4,12.35,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:42:54 23/10/2025,75.9,96.3,10.75,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:42:56 23/10/2025,36.4,7.2,20.61,"Bình thường","An toàn"
16:42:58 23/10/2025,51.1,75.6,20.49,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:43:00 23/10/2025,25.0,74.5,9.27,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:43:02 23/10/2025,72.8,13.4,48.77,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:43:04 23/10/2025,80.3,54.4,47.98,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:43:06 23/10/2025,67.1,79.2,6.08,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:43:08 23/10/2025,6.8,3.0,0.88,"Bình thường","An toàn"
16:43:10 23/10/2025,14.6,59.2,31.50,"Bình thường","An toàn"
16:43:12 23/10/2025,66.5,33.1,15.83,"Bình thường","An toàn"
16:43:14 23/10/2025,64.6,48.2,49.98,"Bình thường","An toàn"
16:43:16 23/10/2025,38.6,85.4,46.26,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:43:18 23/10/2025,72.3,99.0,23.92,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:43:20 23/10/2025,91.2,39.5,25.05,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:43:22 23/10/2025,60.4,2.4,27.07,"Bình thường","An toàn"
16:43:24 23/10/2025,78.7,38.2,37.26,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:43:26 23/10/2025,28.1,9.1,28.79,"Bình thường","An toàn"
16:43:28 23/10/2025,28.5,15.8,46.31,"Bình thường","An toàn"
16:43:30 23/10/2025,99.0,78.0,44.86,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:43:32 23/10/2025,25.3,28.1,23.96,"Bình thường","An toàn"
16:43:34 23/10/2025,12.5,48.9,6.13,"Bình thường","An toàn"
16:43:36 23/10/2025,40.6,77.1,15.22,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:43:39 23/10/2025,33.4,82.1,25.23,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:43:41 23/10/2025,74.4,0.3,13.95,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:43:43 23/10/2025,12.9,52.7,28.29,"Bình thường","An toàn"
16:43:45 23/10/2025,6.4,56.3,11.79,"Bình thường","An toàn"
16:43:47 23/10/2025,35.1,13.8,2.51,"Bình thường","An toàn"
16:43:49 23/10/2025,12.1,85.3,8.59,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:43:51 23/10/2025,7.9,49.6,18.95,"Bình thường","An toàn"
16:43:53 23/10/2025,2.3,36.6,36.74,"Bình thường","An toàn"
16:43:55 23/10/2025,98.4,54.5,23.42,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:43:57 23/10/2025,97.6,37.6,20.89,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:43:59 23/10/2025,70.2,79.9,10.67,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:44:01 23/10/2025,4.4,97.6,33.08,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:44:03 23/10/2025,72.1,40.8,24.37,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:44:05 23/10/2025,77.2,38.7,27.49,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:44:07 23/10/2025,73.6,16.1,40.27,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:44:09 23/10/2025,52.2,86.6,48.48,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:44:11 23/10/2025,34.0,47.7,20.45,"Bình thường","An toàn"
16:44:13 23/10/2025,52.7,83.1,5.73,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:44:15 23/10/2025,9.1,6.0,5.82,"Bình thường","An toàn"
16:44:17 23/10/2025,66.5,77.8,26.97,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:44:19 23/10/2025,96.2,43.8,11.25,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:44:21 23/10/2025,22.6,26.3,3.53,"Bình thường","An toàn"
16:44:23 23/10/2025,91.5,93.8,35.27,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:44:25 23/10/2025,8.2,19.7,47.87,"Bình thường","An toàn"
16:44:27 23/10/2025,53.2,56.3,28.47,"Bình thường","An toàn"
16:44:29 23/10/2025,49.8,95.6,42.97,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:44:31 23/10/2025,85.6,10.6,20.85,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:44:33 23/10/2025,39.4,85.8,1.13,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:44:35 23/10/2025,22.5,64.7,39.71,"Bình thường","An toàn"
16:44:37 23/10/2025,44.4,61.3,42.64,"Bình thường","An toàn"
16:44:39 23/10/2025,3.0,73.1,30.17,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:44:41 23/10/2025,33.4,94.7,27.04,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:44:43 23/10/2025,89.0,29.9,12.87,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:44:45 23/10/2025,9.1,45.3,10.28,"Bình thường","An toàn"
16:44:47 23/10/2025,36.5,6.4,9.74,"Bình thường","An toàn"
16:44:49 23/10/2025,34.5,83.8,37.05,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:44:51 23/10/2025,82.9,38.0,35.42,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:44:53 23/10/2025,74.0,82.2,11.30,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:44:55 23/10/2025,6.7,34.3,37.32,"Bình thường","An toàn"
16:44:57 23/10/2025,34.4,84.1,48.82,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:44:59 23/10/2025,26.7,35.9,16.52,"Bình thường","An toàn"
16:45:01 23/10/2025,39.9,60.3,16.61,"Bình thường","An toàn"
16:45:03 23/10/2025,60.3,17.3,2.30,"Bình thường","An toàn"
16:45:05 23/10/2025,51.8,15.7,40.82,"Bình thường","An toàn"
16:45:07 23/10/2025,0.6,96.5,35.68,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:45:09 23/10/2025,99.6,26.2,48.41,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:45:11 23/10/2025,83.8,19.2,23.46,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:45:13 23/10/2025,60.0,58.5,15.42,"Bình thường","An toàn"
16:45:15 23/10/2025,17.8,68.0,36.93,"Bình thường","An toàn"
16:45:17 23/10/2025,9.3,36.0,24.94,"Bình thường","An toàn"
16:45:19 23/10/2025,88.4,53.5,22.77,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:45:21 23/10/2025,69.7,78.3,6.29,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:45:23 23/10/2025,90.5,68.1,21.44,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:45:25 23/10/2025,79.4,28.1,15.06,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:45:27 23/10/2025,10.5,21.2,42.89,"Bình thường","An toàn"
16:45:29 23/10/2025,45.8,95.0,29.73,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:45:31 23/10/2025,99.0,1.5,6.98,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:45:33 23/10/2025,37.4,46.6,21.32,"Bình thường","An toàn"
16:45:35 23/10/2025,16.4,7.0,12.08,"Bình thường","An toàn"
16:45:37 23/10/2025,80.9,68.9,25.46,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:45:39 23/10/2025,19.0,84.6,34.89,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:45:41 23/10/2025,19.4,7.1,30.72,"Bình thường","An toàn"
16:45:43 23/10/2025,62.0,93.5,48.43,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:45:45 23/10/2025,74.5,73.4,25.39,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:45:47 23/10/2025,50.4,69.6,18.95,"Bình thường","An toàn"
16:45:49 23/10/2025,61.0,1.3,40.75,"Bình thường","An toàn"
16:45:51 23/10/2025,94.7,80.9,37.71,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:45:53 23/10/2025,79.4,75.9,34.29,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:45:55 23/10/2025,63.4,81.1,6.46,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:45:57 23/10/2025,9.8,40.2,4.38,"Bình thường","An toàn"
16:45:59 23/10/2025,88.0,83.9,40.15,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:46:01 23/10/2025,69.8,46.3,12.31,"Bình thường","An toàn"
16:46:03 23/10/2025,15.7,66.0,5.99,"Bình thường","An toàn"
16:46:05 23/10/2025,16.0,56.0,49.15,"Bình thường","An toàn"
16:46:07 23/10/2025,7.3,69.1,12.41,"Bình thường","An toàn"
16:46:09 23/10/2025,51.1,53.4,9.73,"Bình thường","An toàn"
16:46:11 23/10/2025,68.1,33.9,31.16,"Bình thường","An toàn"
16:46:13 23/10/2025,51.0,76.2,23.34,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:46:15 23/10/2025,69.2,69.9,21.10,"Bình thường","An toàn"
16:46:17 23/10/2025,78.8,3.2,49.57,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:46:19 23/10/2025,19.1,22.9,31.53,"Bình thường","An toàn"
16:46:21 23/10/2025,89.7,71.0,3.71,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:46:23 23/10/2025,36.8,11.0,41.52,"Bình thường","An toàn"
16:46:25 23/10/2025,52.1,17.2,6.11,"Bình thường","An toàn"
16:46:27 23/10/2025,14.9,70.5,43.38,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:46:29 23/10/2025,77.3,55.5,41.58,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:46:31 23/10/2025,50.8,50.0,48.32,"Bình thường","An toàn"
16:46:33 23/10/2025,87.9,94.5,37.45,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:46:35 23/10/2025,56.6,99.6,44.91,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:46:37 23/10/2025,19.1,3.6,30.20,"Bình thường","An toàn"
16:46:39 23/10/2025,95.4,58.0,8.36,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:46:41 23/10/2025,39.7,2.6,47.60,"Bình thường","An toàn"
16:46:43 23/10/2025,51.0,99.5,31.41,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:46:45 23/10/2025,6.7,21.0,14.18,"Bình thường","An toàn"
16:46:47 23/10/2025,92.5,52.6,31.18,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:46:49 23/10/2025,16.7,60.2,27.52,"Bình thường","An toàn"
16:46:51 23/10/2025,68.5,13.6,28.79,"Bình thường","An toàn"
16:46:53 23/10/2025,79.2,83.7,15.57,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:46:55 23/10/2025,20.9,49.1,16.25,"Bình thường","An toàn"
16:46:57 23/10/2025,72.6,89.7,5.19,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:46:59 23/10/2025,28.2,50.6,30.90,"Bình thường","An toàn"
16:47:01 23/10/2025,93.6,40.3,10.03,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:47:03 23/10/2025,56.7,49.0,39.87,"Bình thường","An toàn"
16:47:05 23/10/2025,30.1,79.0,35.19,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:47:07 23/10/2025,79.1,61.0,40.99,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:47:09 23/10/2025,99.9,8.8,3.53,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:47:11 23/10/2025,97.1,15.2,12.96,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:47:13 23/10/2025,45.6,51.6,32.65,"Bình thường","An toàn"
16:47:15 23/10/2025,50.5,62.2,33.20,"Bình thường","An toàn"
16:47:17 23/10/2025,16.5,88.9,9.52,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:47:19 23/10/2025,12.0,57.2,48.26,"Bình thường","An toàn"
16:47:21 23/10/2025,61.6,34.9,42.09,"Bình thường","An toàn"
16:47:23 23/10/2025,48.7,42.5,48.38,"Bình thường","An toàn"
16:47:25 23/10/2025,96.1,17.0,31.61,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:47:28 23/10/2025,5.9,59.9,8.66,"Bình thường","An toàn"
16:47:30 23/10/2025,45.5,65.6,47.76,"Bình thường","An toàn"
16:47:32 23/10/2025,56.2,49.4,19.72,"Bình thường","An toàn"
16:47:34 23/10/2025,1.8,52.6,46.59,"Bình thường","An toàn"
16:47:36 23/10/2025,44.1,55.6,41.58,"Bình thường","An toàn"
16:47:38 23/10/2025,90.8,99.3,25.81,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:47:40 23/10/2025,67.4,77.3,32.64,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:47:42 23/10/2025,14.8,12.6,0.18,"Bình thường","An toàn"
16:47:44 23/10/2025,91.7,86.8,15.98,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:47:46 23/10/2025,84.3,39.5,12.81,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:47:48 23/10/2025,26.0,42.3,42.05,"Bình thường","An toàn"
16:47:50 23/10/2025,36.8,81.5,30.74,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:47:52 23/10/2025,49.6,34.0,25.16,"Bình thường","An toàn"
16:47:54 23/10/2025,96.4,74.3,28.11,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:47:56 23/10/2025,23.6,83.3,2.40,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:47:58 23/10/2025,96.2,31.0,3.51,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:48:00 23/10/2025,48.7,60.2,21.77,"Bình thường","An toàn"
16:48:02 23/10/2025,27.7,36.1,26.12,"Bình thường","An toàn"
16:48:04 23/10/2025,70.0,4.0,28.44,"Bình thường","An toàn"
16:48:06 23/10/2025,35.5,72.5,11.75,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:48:08 23/10/2025,24.2,71.8,47.75,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:48:10 23/10/2025,25.9,6.4,26.49,"Bình thường","An toàn"
16:48:12 23/10/2025,85.5,39.1,4.90,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:48:14 23/10/2025,6.1,22.4,25.73,"Bình thường","An toàn"
16:48:16 23/10/2025,86.2,67.7,9.73,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:48:18 23/10/2025,37.7,7.3,37.08,"Bình thường","An toàn"
16:48:20 23/10/2025,80.8,40.0,30.13,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:48:22 23/10/2025,42.2,34.2,20.15,"Bình thường","An toàn"
16:48:24 23/10/2025,60.6,34.2,42.06,"Bình thường","An toàn"
16:48:26 23/10/2025,23.5,3.2,37.70,"Bình thường","An toàn"
16:48:28 23/10/2025,57.5,52.8,24.15,"Bình thường","An toàn"
16:48:30 23/10/2025,68.0,75.4,24.21,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:48:32 23/10/2025,30.8,77.0,1.39,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:48:34 23/10/2025,76.0,13.8,2.31,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:48:36 23/10/2025,32.7,85.1,1.16,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:48:38 23/10/2025,96.5,24.0,40.86,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:48:40 23/10/2025,68.4,50.7,9.05,"Bình thường","An toàn"
16:48:42 23/10/2025,57.2,68.6,20.11,"Bình thường","An toàn"
16:48:44 23/10/2025,28.1,99.9,44.55,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:48:46 23/10/2025,18.8,2.0,19.31,"Bình thường","An toàn"
16:48:48 23/10/2025,97.7,98.8,16.97,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:48:50 23/10/2025,71.8,83.1,18.24,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:48:52 23/10/2025,3.5,59.8,49.38,"Bình thường","An toàn"
16:48:54 23/10/2025,1.0,72.6,36.36,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:48:56 23/10/2025,27.4,69.6,21.46,"Bình thường","An toàn"
16:48:58 23/10/2025,21.8,33.5,0.59,"Bình thường","An toàn"
16:49:00 23/10/2025,27.8,70.3,28.35,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:49:02 23/10/2025,48.4,26.4,4.13,"Bình thường","An toàn"
16:49:04 23/10/2025,51.0,45.6,47.88,"Bình thường","An toàn"
16:49:06 23/10/2025,9.8,35.4,19.86,"Bình thường","An toàn"
16:49:08 23/10/2025,19.2,4.6,41.05,"Bình thường","An toàn"
16:49:10 23/10/2025,85.5,25.9,25.25,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:49:12 23/10/2025,74.7,17.0,14.84,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:49:14 23/10/2025,81.1,53.0,8.50,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:49:16 23/10/2025,85.1,58.1,23.10,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:49:18 23/10/2025,91.8,47.9,31.39,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:49:20 23/10/2025,85.0,40.6,39.78,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:49:22 23/10/2025,88.4,1.0,48.66,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:49:24 23/10/2025,15.9,65.7,12.89,"Bình thường","An toàn"
16:49:26 23/10/2025,99.9,20.7,31.80,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:49:28 23/10/2025,76.1,41.1,37.77,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:49:30 23/10/2025,85.5,79.3,35.05,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:49:32 23/10/2025,16.3,75.5,22.88,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:49:34 23/10/2025,22.8,29.3,17.16,"Bình thường","An toàn"
16:49:36 23/10/2025,45.0,38.1,15.33,"Bình thường","An toàn"
16:49:38 23/10/2025,54.1,70.6,46.90,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:49:40 23/10/2025,68.6,12.3,20.83,"Bình thường","An toàn"
16:49:42 23/10/2025,76.2,16.8,21.40,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:49:44 23/10/2025,41.1,23.3,24.81,"Bình thường","An toàn"
16:49:46 23/10/2025,51.4,80.1,9.00,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:49:48 23/10/2025,82.5,54.2,49.50,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:49:50 23/10/2025,27.6,13.8,10.05,"Bình thường","An toàn"
16:49:52 23/10/2025,61.2,91.3,12.58,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:49:54 23/10/2025,59.0,27.3,38.84,"Bình thường","An toàn"
16:49:56 23/10/2025,30.9,69.0,44.08,"Bình thường","An toàn"
16:49:58 23/10/2025,95.7,99.5,34.05,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:50:00 23/10/2025,98.1,96.5,2.48,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:50:02 23/10/2025,91.0,80.0,0.28,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:50:04 23/10/2025,62.9,83.7,30.24,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:50:06 23/10/2025,1.3,70.6,21.20,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:50:08 23/10/2025,28.6,51.8,43.04,"Bình thường","An toàn"
16:50:10 23/10/2025,54.4,98.4,25.76,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:50:12 23/10/2025,31.8,91.8,31.14,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:50:14 23/10/2025,85.9,8.3,11.74,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:50:16 23/10/2025,27.7,98.9,8.68,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:50:18 23/10/2025,44.6,84.5,13.98,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:50:20 23/10/2025,83.7,30.6,29.14,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:50:22 23/10/2025,6.2,57.3,42.48,"Bình thường","An toàn"
16:50:24 23/10/2025,62.6,95.7,22.16,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:50:26 23/10/2025,79.1,97.5,24.05,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:50:28 23/10/2025,42.9,39.7,25.97,"Bình thường","An toàn"
16:50:30 23/10/2025,87.7,70.1,33.51,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:50:32 23/10/2025,93.0,92.0,47.65,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:50:34 23/10/2025,48.2,10.4,8.74,"Bình thường","An toàn"
16:50:36 23/10/2025,53.7,42.6,27.95,"Bình thường","An toàn"
16:50:38 23/10/2025,78.9,81.1,1.24,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
